[21:24:54.660] [INFO   ] thread main starting.
[21:24:54.682] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:24:54.687] [SEVERE ] configuration file was loaded from resources directory.
[21:24:55.624] [INFO   ] thread dealer starting.
[21:24:55.625] [INFO   ] thread dealer starting.
[21:24:55.626] [INFO   ] thread player 0 starting.
[21:24:55.626] [INFO   ] thread player 1 starting.
[21:24:55.741] [SEVERE ] placing card 42 in slot 0
[21:24:55.865] [SEVERE ] placing card 35 in slot 1
[21:24:55.975] [SEVERE ] placing card 77 in slot 2
[21:24:56.083] [SEVERE ] placing card 32 in slot 3
[21:24:56.193] [SEVERE ] placing card 24 in slot 4
[21:24:56.302] [SEVERE ] placing card 29 in slot 5
[21:24:56.412] [SEVERE ] placing card 41 in slot 6
[21:24:56.521] [SEVERE ] placing card 28 in slot 7
[21:24:56.631] [SEVERE ] placing card 48 in slot 8
[21:24:56.741] [SEVERE ] placing card 22 in slot 9
[21:24:56.850] [SEVERE ] placing card 71 in slot 10
[21:24:56.957] [SEVERE ] placing card 30 in slot 11
[21:24:56.958] [SEVERE ] updating countdown to 60000
[21:24:57.066] [SEVERE ] updating countdown to 59892
[21:24:57.176] [SEVERE ] updating countdown to 59782
[21:24:57.287] [SEVERE ] updating countdown to 59671
[21:24:57.394] [SEVERE ] updating countdown to 59564
[21:24:57.504] [SEVERE ] updating countdown to 59454
[21:24:57.612] [SEVERE ] updating countdown to 59346
[21:24:57.721] [SEVERE ] updating countdown to 59237
[21:24:57.831] [SEVERE ] updating countdown to 59127
[21:24:57.941] [SEVERE ] updating countdown to 59017
[21:24:58.050] [SEVERE ] updating countdown to 58908
[21:24:58.158] [SEVERE ] updating countdown to 58800
[21:24:58.268] [SEVERE ] updating countdown to 58690
[21:24:58.377] [SEVERE ] updating countdown to 58581
[21:24:58.485] [SEVERE ] updating countdown to 58473
[21:24:58.594] [SEVERE ] updating countdown to 58364
[21:24:58.702] [SEVERE ] updating countdown to 58256
[21:24:58.812] [SEVERE ] updating countdown to 58146
[21:24:58.922] [SEVERE ] updating countdown to 58036
[21:24:59.031] [SEVERE ] updating countdown to 57927
[21:24:59.140] [SEVERE ] updating countdown to 57818
[21:24:59.250] [SEVERE ] updating countdown to 57708
[21:24:59.359] [SEVERE ] updating countdown to 57599
[21:24:59.470] [SEVERE ] updating countdown to 57488
[21:24:59.580] [SEVERE ] updating countdown to 57378
[21:24:59.689] [SEVERE ] updating countdown to 57269
[21:24:59.796] [SEVERE ] updating countdown to 57162
[21:24:59.906] [SEVERE ] updating countdown to 57052
[21:25:00.015] [SEVERE ] updating countdown to 56943
[21:25:00.126] [SEVERE ] updating countdown to 56832
[21:25:00.235] [SEVERE ] updating countdown to 56723
[21:25:00.344] [SEVERE ] updating countdown to 56614
[21:25:00.452] [SEVERE ] updating countdown to 56506
[21:25:00.561] [SEVERE ] updating countdown to 56397
[21:25:00.670] [SEVERE ] updating countdown to 56289
[21:25:00.777] [SEVERE ] updating countdown to 56181
[21:25:00.887] [SEVERE ] updating countdown to 56071
[21:25:00.998] [SEVERE ] updating countdown to 55960
[21:25:01.108] [SEVERE ] updating countdown to 55850
[21:25:01.218] [SEVERE ] updating countdown to 55740
[21:25:01.327] [SEVERE ] updating countdown to 55631
[21:25:01.434] [SEVERE ] updating countdown to 55524
[21:25:01.543] [SEVERE ] updating countdown to 55415
[21:25:01.651] [SEVERE ] updating countdown to 55307
[21:25:01.762] [SEVERE ] updating countdown to 55196
[21:25:01.872] [SEVERE ] updating countdown to 55086
[21:25:01.980] [SEVERE ] updating countdown to 54978
[21:25:02.089] [SEVERE ] updating countdown to 54869
[21:25:02.198] [SEVERE ] updating countdown to 54760
[21:25:02.306] [SEVERE ] updating countdown to 54652
[21:25:02.415] [SEVERE ] updating countdown to 54543
[21:25:02.525] [SEVERE ] updating countdown to 54433
[21:25:02.635] [SEVERE ] updating countdown to 54323
[21:25:02.746] [SEVERE ] updating countdown to 54212
[21:25:02.856] [SEVERE ] updating countdown to 54102
[21:25:02.964] [SEVERE ] updating countdown to 53994
[21:25:03.074] [SEVERE ] updating countdown to 53884
[21:25:03.184] [SEVERE ] updating countdown to 53774
[21:25:03.294] [SEVERE ] updating countdown to 53664
[21:25:03.405] [SEVERE ] updating countdown to 53553
[21:25:03.514] [SEVERE ] updating countdown to 53444
[21:25:03.621] [SEVERE ] updating countdown to 53337
[21:25:03.730] [SEVERE ] updating countdown to 53228
[21:25:03.839] [SEVERE ] updating countdown to 53119
[21:25:03.949] [SEVERE ] updating countdown to 53009
[21:25:04.057] [SEVERE ] updating countdown to 52901
[21:25:04.165] [SEVERE ] updating countdown to 52793
[21:25:04.273] [SEVERE ] updating countdown to 52685
[21:25:04.383] [SEVERE ] updating countdown to 52575
[21:25:04.491] [SEVERE ] updating countdown to 52467
[21:25:04.600] [SEVERE ] updating countdown to 52358
[21:25:04.709] [SEVERE ] updating countdown to 52249
[21:25:04.819] [SEVERE ] updating countdown to 52139
[21:25:04.927] [SEVERE ] updating countdown to 52031
[21:25:05.035] [SEVERE ] updating countdown to 51923
[21:25:05.143] [SEVERE ] updating countdown to 51815
[21:25:05.253] [SEVERE ] updating countdown to 51705
[21:25:05.362] [SEVERE ] updating countdown to 51596
[21:25:05.471] [SEVERE ] updating countdown to 51487
[21:25:05.580] [SEVERE ] updating countdown to 51378
[21:25:05.692] [SEVERE ] updating countdown to 51266
[21:25:05.801] [SEVERE ] updating countdown to 51157
[21:25:05.909] [SEVERE ] updating countdown to 51049
[21:25:06.018] [SEVERE ] updating countdown to 50940
[21:25:06.127] [SEVERE ] updating countdown to 50831
[21:25:06.236] [SEVERE ] updating countdown to 50722
[21:25:06.345] [SEVERE ] updating countdown to 50613
[21:25:06.454] [SEVERE ] updating countdown to 50504
[21:25:06.563] [SEVERE ] updating countdown to 50395
[21:25:06.672] [SEVERE ] updating countdown to 50286
[21:25:06.779] [SEVERE ] updating countdown to 50179
[21:25:06.890] [SEVERE ] updating countdown to 50068
[21:25:06.999] [SEVERE ] updating countdown to 49959
[21:25:07.108] [SEVERE ] updating countdown to 49850
[21:25:07.215] [SEVERE ] updating countdown to 49743
[21:25:07.323] [SEVERE ] updating countdown to 49635
[21:25:07.432] [SEVERE ] updating countdown to 49526
[21:25:07.542] [SEVERE ] updating countdown to 49416
[21:25:07.651] [SEVERE ] updating countdown to 49307
[21:25:07.759] [SEVERE ] updating countdown to 49199
[21:25:07.868] [SEVERE ] updating countdown to 49090
[21:25:07.976] [SEVERE ] updating countdown to 48982
[21:25:08.084] [SEVERE ] updating countdown to 48874
[21:25:08.193] [SEVERE ] updating countdown to 48765
