[21:31:06.126] [INFO   ] thread main starting.
[21:31:06.142] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:31:06.145] [SEVERE ] configuration file was loaded from resources directory.
[21:31:06.749] [INFO   ] thread dealer starting.
[21:31:06.749] [INFO   ] thread dealer starting.
[21:31:06.749] [INFO   ] thread player 0 starting.
[21:31:06.749] [INFO   ] thread player 1 starting.
[21:31:06.862] [SEVERE ] placing card 45 in slot 0
[21:31:06.977] [SEVERE ] placing card 29 in slot 1
[21:31:07.081] [SEVERE ] placing card 12 in slot 2
[21:31:07.193] [SEVERE ] placing card 56 in slot 3
[21:31:07.306] [SEVERE ] placing card 25 in slot 4
[21:31:07.421] [SEVERE ] placing card 39 in slot 5
[21:31:07.527] [SEVERE ] placing card 21 in slot 6
[21:31:07.634] [SEVERE ] placing card 44 in slot 7
[21:31:07.741] [SEVERE ] placing card 61 in slot 8
[21:31:07.856] [SEVERE ] placing card 58 in slot 9
[21:31:07.961] [SEVERE ] placing card 54 in slot 10
[21:31:08.076] [SEVERE ] placing card 48 in slot 11
[21:31:08.077] [SEVERE ] updating countdown to 60000
[21:31:08.190] [SEVERE ] updating countdown to 59887
[21:31:08.305] [SEVERE ] updating countdown to 59772
[21:31:08.420] [SEVERE ] updating countdown to 59657
[21:31:08.526] [SEVERE ] updating countdown to 59551
[21:31:08.632] [SEVERE ] updating countdown to 59445
[21:31:08.740] [SEVERE ] updating countdown to 59337
[21:31:08.844] [SEVERE ] updating countdown to 59233
[21:31:08.951] [SEVERE ] updating countdown to 59126
[21:31:09.059] [SEVERE ] updating countdown to 59018
[21:31:09.161] [SEVERE ] updating countdown to 58916
[21:31:09.265] [SEVERE ] updating countdown to 58812
[21:31:09.379] [SEVERE ] updating countdown to 58698
[21:31:09.489] [SEVERE ] updating countdown to 58588
[21:31:09.606] [SEVERE ] updating countdown to 58471
[21:31:09.714] [SEVERE ] updating countdown to 58363
[21:31:09.817] [SEVERE ] updating countdown to 58260
[21:31:09.921] [SEVERE ] updating countdown to 58156
[21:31:10.032] [SEVERE ] updating countdown to 58045
[21:31:10.138] [SEVERE ] updating countdown to 57939
[21:31:10.247] [SEVERE ] updating countdown to 57830
[21:31:10.355] [SEVERE ] updating countdown to 57722
[21:31:10.465] [SEVERE ] updating countdown to 57612
[21:31:10.572] [SEVERE ] updating countdown to 57505
[21:31:10.674] [SEVERE ] updating countdown to 57403
[21:31:10.789] [SEVERE ] updating countdown to 57288
[21:31:10.897] [SEVERE ] updating countdown to 57180
[21:31:11.012] [SEVERE ] updating countdown to 57065
[21:31:11.127] [SEVERE ] updating countdown to 56950
[21:31:11.234] [SEVERE ] updating countdown to 56843
[21:31:11.342] [SEVERE ] updating countdown to 56735
[21:31:11.450] [SEVERE ] updating countdown to 56627
[21:31:11.558] [SEVERE ] updating countdown to 56519
[21:31:11.661] [SEVERE ] updating countdown to 56416
[21:31:11.766] [SEVERE ] updating countdown to 56311
[21:31:11.873] [SEVERE ] updating countdown to 56204
[21:31:11.980] [SEVERE ] updating countdown to 56097
[21:31:12.082] [SEVERE ] updating countdown to 55995
[21:31:12.190] [SEVERE ] updating countdown to 55887
[21:31:12.299] [SEVERE ] updating countdown to 55778
[21:31:12.405] [SEVERE ] updating countdown to 55672
[21:31:12.508] [SEVERE ] updating countdown to 55569
[21:31:12.615] [SEVERE ] updating countdown to 55462
[21:31:12.717] [SEVERE ] updating countdown to 55360
[21:31:12.823] [SEVERE ] updating countdown to 55254
[21:31:12.932] [SEVERE ] updating countdown to 55145
[21:31:13.040] [SEVERE ] updating countdown to 55037
[21:31:13.141] [SEVERE ] updating countdown to 54936
[21:31:13.248] [SEVERE ] updating countdown to 54829
[21:31:13.349] [SEVERE ] updating countdown to 54728
[21:31:13.456] [SEVERE ] updating countdown to 54621
[21:31:13.563] [SEVERE ] updating countdown to 54514
[21:31:13.669] [SEVERE ] updating countdown to 54408
[21:31:13.771] [SEVERE ] updating countdown to 54306
[21:31:13.884] [SEVERE ] updating countdown to 54193
[21:31:13.987] [SEVERE ] updating countdown to 54090
[21:31:14.103] [SEVERE ] updating countdown to 53974
[21:31:14.208] [SEVERE ] updating countdown to 53869
[21:31:14.316] [SEVERE ] updating countdown to 53761
[21:31:14.417] [SEVERE ] updating countdown to 53660
[21:31:14.533] [SEVERE ] updating countdown to 53544
[21:31:14.639] [SEVERE ] updating countdown to 53438
[21:31:14.743] [SEVERE ] updating countdown to 53334
[21:31:14.846] [SEVERE ] updating countdown to 53231
[21:31:14.947] [SEVERE ] updating countdown to 53130
[21:31:15.052] [SEVERE ] updating countdown to 53025
[21:31:15.155] [SEVERE ] updating countdown to 52922
