[21:37:55.876] [INFO   ] thread main starting.
[21:37:55.892] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:37:55.900] [SEVERE ] configuration file was loaded from resources directory.
[21:37:56.643] [INFO   ] thread dealer starting.
[21:37:56.643] [INFO   ] thread dealer starting.
[21:37:56.643] [INFO   ] thread player 0 starting.
[21:37:56.643] [INFO   ] thread player 1 starting.
[21:37:56.755] [SEVERE ] placing card 69 in slot 0
[21:37:56.861] [SEVERE ] placing card 30 in slot 1
[21:37:56.966] [SEVERE ] placing card 54 in slot 2
[21:37:57.072] [SEVERE ] placing card 47 in slot 3
[21:37:57.179] [SEVERE ] placing card 5 in slot 4
[21:37:57.283] [SEVERE ] placing card 49 in slot 5
[21:37:57.393] [SEVERE ] placing card 70 in slot 6
[21:37:57.508] [SEVERE ] placing card 13 in slot 7
[21:37:57.616] [SEVERE ] placing card 11 in slot 8
[21:37:57.724] [SEVERE ] placing card 44 in slot 9
[21:37:57.832] [SEVERE ] placing card 42 in slot 10
[21:37:57.945] [SEVERE ] placing card 27 in slot 11
[21:37:57.945] [SEVERE ] updating countdown to 60000
[21:37:58.053] [SEVERE ] updating countdown to 59893
[21:37:58.160] [SEVERE ] updating countdown to 59786
[21:37:58.269] [SEVERE ] updating countdown to 59676
[21:37:58.373] [SEVERE ] updating countdown to 59572
[21:37:58.478] [SEVERE ] updating countdown to 59467
[21:37:58.586] [SEVERE ] updating countdown to 59359
[21:37:58.698] [SEVERE ] updating countdown to 59247
[21:37:58.799] [SEVERE ] updating countdown to 59146
[21:37:58.914] [SEVERE ] updating countdown to 59031
[21:37:59.027] [SEVERE ] updating countdown to 58918
[21:37:59.135] [SEVERE ] updating countdown to 58810
[21:37:59.243] [SEVERE ] updating countdown to 58702
[21:37:59.349] [SEVERE ] updating countdown to 58596
[21:37:59.465] [SEVERE ] updating countdown to 58480
[21:37:59.580] [SEVERE ] updating countdown to 58365
[21:37:59.681] [SEVERE ] updating countdown to 58264
[21:37:59.784] [SEVERE ] updating countdown to 58161
[21:37:59.896] [SEVERE ] updating countdown to 58049
[21:38:00.011] [SEVERE ] updating countdown to 57934
[21:38:00.119] [SEVERE ] updating countdown to 57826
[21:38:00.226] [SEVERE ] updating countdown to 57719
[21:38:00.334] [SEVERE ] updating countdown to 57611
[21:38:00.444] [SEVERE ] updating countdown to 57501
[21:38:00.549] [SEVERE ] updating countdown to 57396
[21:38:00.657] [SEVERE ] updating countdown to 57288
[21:38:00.762] [SEVERE ] updating countdown to 57183
[21:38:00.877] [SEVERE ] updating countdown to 57068
[21:38:00.989] [SEVERE ] updating countdown to 56956
[21:38:01.094] [SEVERE ] updating countdown to 56851
[21:38:01.201] [SEVERE ] updating countdown to 56744
[21:38:01.307] [SEVERE ] updating countdown to 56638
[21:38:01.412] [SEVERE ] updating countdown to 56533
[21:38:01.515] [SEVERE ] updating countdown to 56430
[21:38:01.618] [SEVERE ] updating countdown to 56327
[21:38:01.726] [SEVERE ] updating countdown to 56219
[21:38:01.834] [SEVERE ] updating countdown to 56111
[21:38:01.942] [SEVERE ] updating countdown to 56003
[21:38:02.050] [SEVERE ] updating countdown to 55895
[21:38:02.157] [SEVERE ] updating countdown to 55788
[21:38:02.258] [SEVERE ] updating countdown to 55687
[21:38:02.360] [SEVERE ] updating countdown to 55585
[21:38:02.471] [SEVERE ] updating countdown to 55474
[21:38:02.581] [SEVERE ] updating countdown to 55364
[21:38:02.687] [SEVERE ] updating countdown to 55258
[21:38:02.794] [SEVERE ] updating countdown to 55151
[21:38:02.894] [SEVERE ] updating countdown to 55051
[21:38:03.008] [SEVERE ] updating countdown to 54937
[21:38:03.116] [SEVERE ] updating countdown to 54829
[21:38:03.224] [SEVERE ] updating countdown to 54721
[21:38:03.325] [SEVERE ] updating countdown to 54620
[21:38:03.434] [SEVERE ] updating countdown to 54511
[21:38:03.536] [SEVERE ] updating countdown to 54409
[21:38:03.644] [SEVERE ] updating countdown to 54301
[21:38:03.755] [SEVERE ] updating countdown to 54190
[21:38:03.865] [SEVERE ] updating countdown to 54080
[21:38:03.974] [SEVERE ] updating countdown to 53971
[21:38:04.089] [SEVERE ] updating countdown to 53856
[21:38:04.190] [SEVERE ] updating countdown to 53755
[21:38:04.298] [SEVERE ] updating countdown to 53647
[21:38:04.404] [SEVERE ] updating countdown to 53541
[21:38:04.511] [SEVERE ] updating countdown to 53434
[21:38:04.619] [SEVERE ] updating countdown to 53326
[21:38:04.727] [SEVERE ] updating countdown to 53219
[21:38:04.834] [SEVERE ] updating countdown to 53111
[21:38:04.941] [SEVERE ] updating countdown to 53004
[21:38:05.048] [SEVERE ] updating countdown to 52897
[21:38:05.155] [SEVERE ] updating countdown to 52790
[21:38:05.270] [SEVERE ] updating countdown to 52675
[21:38:05.378] [SEVERE ] updating countdown to 52567
[21:38:05.489] [SEVERE ] updating countdown to 52456
[21:38:05.593] [SEVERE ] updating countdown to 52352
[21:38:05.702] [SEVERE ] updating countdown to 52243
[21:38:05.809] [SEVERE ] updating countdown to 52136
[21:38:05.925] [SEVERE ] updating countdown to 52020
[21:38:06.036] [SEVERE ] updating countdown to 51909
[21:38:06.141] [SEVERE ] updating countdown to 51804
[21:38:06.250] [SEVERE ] updating countdown to 51696
[21:38:06.357] [SEVERE ] updating countdown to 51588
[21:38:06.472] [SEVERE ] updating countdown to 51473
[21:38:06.579] [SEVERE ] updating countdown to 51366
[21:38:06.686] [SEVERE ] updating countdown to 51259
[21:38:06.793] [SEVERE ] updating countdown to 51152
[21:38:06.900] [SEVERE ] updating countdown to 51045
[21:38:07.016] [SEVERE ] updating countdown to 50929
[21:38:07.132] [SEVERE ] updating countdown to 50813
[21:38:07.239] [SEVERE ] updating countdown to 50706
[21:38:07.345] [SEVERE ] updating countdown to 50600
[21:38:07.452] [SEVERE ] updating countdown to 50493
[21:38:07.560] [SEVERE ] updating countdown to 50385
[21:38:07.667] [SEVERE ] updating countdown to 50278
[21:38:07.770] [SEVERE ] updating countdown to 50175
[21:38:07.877] [SEVERE ] updating countdown to 50068
[21:38:07.985] [SEVERE ] updating countdown to 49960
[21:38:08.093] [SEVERE ] updating countdown to 49852
