[21:28:08.651] [INFO   ] thread main starting.
[21:28:08.663] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:28:21.314] [SEVERE ] updating countdown to 49493
[21:28:21.422] [SEVERE ] updating countdown to 49385
[21:28:21.532] [SEVERE ] updating countdown to 49275
[21:28:21.641] [SEVERE ] updating countdown to 49166
[21:28:21.757] [SEVERE ] updating countdown to 49050
[21:28:21.866] [SEVERE ] updating countdown to 48941
[21:28:21.975] [SEVERE ] updating countdown to 48832
[21:28:22.083] [SEVERE ] updating countdown to 48724
[21:28:22.186] [SEVERE ] updating countdown to 48621
[21:28:22.290] [SEVERE ] updating countdown to 48517
[21:28:22.397] [SEVERE ] updating countdown to 48410
[21:28:22.500] [SEVERE ] updating countdown to 48307
[21:28:22.602] [SEVERE ] updating countdown to 48205
[21:28:22.717] [SEVERE ] updating countdown to 48090
[21:28:22.825] [SEVERE ] updating countdown to 47982
[21:28:22.932] [SEVERE ] updating countdown to 47875
[21:28:23.041] [SEVERE ] updating countdown to 47766
[21:28:23.152] [SEVERE ] updating countdown to 47655
[21:28:23.260] [SEVERE ] updating countdown to 47547
[21:28:23.376] [SEVERE ] updating countdown to 47431
[21:28:23.484] [SEVERE ] updating countdown to 47323
[21:28:23.590] [SEVERE ] updating countdown to 47217
[21:28:23.693] [SEVERE ] updating countdown to 47114
[21:28:23.793] [SEVERE ] updating countdown to 47014
[21:28:23.894] [SEVERE ] updating countdown to 46913
[21:28:24.008] [SEVERE ] updating countdown to 46799
[21:28:24.118] [SEVERE ] updating countdown to 46689
[21:28:24.226] [SEVERE ] updating countdown to 46581
[21:28:24.331] [SEVERE ] updating countdown to 46476
[21:28:24.433] [SEVERE ] updating countdown to 46374
[21:28:24.544] [SEVERE ] updating countdown to 46263
[21:28:24.660] [SEVERE ] updating countdown to 46147
[21:28:24.764] [SEVERE ] updating countdown to 46043
[21:28:24.875] [SEVERE ] updating countdown to 45932
[21:28:24.977] [SEVERE ] updating countdown to 45830
[21:28:25.093] [SEVERE ] updating countdown to 45714
[21:28:25.200] [SEVERE ] updating countdown to 45607
[21:28:25.307] [SEVERE ] updating countdown to 45500
[21:28:25.408] [SEVERE ] updating countdown to 45399
[21:28:25.516] [SEVERE ] updating countdown to 45291
[21:28:25.619] [SEVERE ] updating countdown to 45188
[21:28:25.726] [SEVERE ] updating countdown to 45081
[21:28:25.833] [SEVERE ] updating countdown to 44974
[21:28:25.940] [SEVERE ] updating countdown to 44867
[21:28:26.045] [SEVERE ] updating countdown to 44762
[21:28:26.153] [SEVERE ] updating countdown to 44654
[21:28:26.260] [SEVERE ] updating countdown to 44547
[21:28:26.368] [SEVERE ] updating countdown to 44439
[21:28:26.484] [SEVERE ] updating countdown to 44323
[21:28:26.593] [SEVERE ] updating countdown to 44214
[21:28:26.696] [SEVERE ] updating countdown to 44111
[21:28:26.808] [SEVERE ] updating countdown to 43999
